date,adj_close
2024-08-19,88.010000
2024-08-20,86.900000
2024-08-21,87.140000
2024-08-22,87.540000
2024-08-23,92.140000
2024-08-26,91.310000
2024-08-27,90.820000
2024-08-28,91.870000
2024-08-29,92.300000
2024-08-30,92.590000
2024-09-03,91.700000
2024-09-04,91.170000
2024-09-05,90.950000
2024-09-06,89.010000
2024-09-09,89.240000
2024-09-10,88.470000
2024-09-11,87.690000
2024-09-12,88.230000
2024-09-13,90.510000
2024-09-16,93.160000
2024-09-17,94.150000
2024-09-18,94.510000
2024-09-19,96.920000
2024-09-20,94.200000
2024-09-23,94.200000
2024-09-24,92.830000
2024-09-25,90.510000
2024-09-26,91.090000
2024-09-27,91.310000
2024-09-30,92.680000
2024-10-01,89.690000
2024-10-02,89.720000
2024-10-03,90.260000
2024-10-04,91.970000
2024-10-07,91.180000
2024-10-08,90.650000
2024-10-09,91.950000
2024-10-10,91.340000
2024-10-11,94.480000
2024-10-14,95.710000
2024-10-15,96.840000
2024-10-16,97.490000
2024-10-17,98.210000
2024-10-18,96.730000
2024-10-21,92.050000
2024-10-22,92.700000
2024-10-23,92.160000
2024-10-24,93.520000
2024-10-25,91.340000
2024-10-28,93.910000
2024-10-29,93.680000
2024-10-30,95.180000
2024-10-31,93.010000
2024-11-01,92.910000
2024-11-04,91.220000
2024-11-05,93.200000
2024-11-06,106.260000
2024-11-07,102.710000
2024-11-08,103.890000
2024-11-11,106.370000
2024-11-12,103.870000
2024-11-13,102.410000
2024-11-14,102.070000
2024-11-15,101.660000
2024-11-18,101.190000
2024-11-19,100.720000
2024-11-20,100.470000
2024-11-21,102.390000
2024-11-22,104.470000
2024-11-25,107.280000
2024-11-26,106.410000
2024-11-27,106.630000
2024-11-29,106.090000
2024-12-02,104.810000
2024-12-03,105.170000
2024-12-04,106.390000
2024-12-05,106.150000
2024-12-06,106.320000
2024-12-09,103.440000
2024-12-10,103.920000
2024-12-11,105.210000
2024-12-12,103.390000
2024-12-13,104.190000
2024-12-16,103.940000
2024-12-17,102.050000
2024-12-18,96.450000
2024-12-19,94.820000
2024-12-20,96.050000
2024-12-23,96.450000
2024-12-24,96.940000
2024-12-26,98.030000
2024-12-27,96.440000
2024-12-30,96.410000
2024-12-31,95.350000
2025-01-02,92.970000
2025-01-03,93.380000
2025-01-06,92.900000
2025-01-07,92.110000
2025-01-08,92.160000
2025-01-10,88.880000
2025-01-13,89.060000
2025-01-14,93.300000
2025-01-15,95.400000
2025-01-16,94.530000
2025-01-17,95.580000
2025-01-21,96.710000
