date,adj_close
2024-08-21,8.690000
2024-08-22,8.680000
2024-08-23,8.830000
2024-08-26,8.780000
2024-08-27,8.950000
2024-08-28,8.910000
2024-08-29,8.780000
2024-08-30,8.870000
2024-09-03,8.950000
2024-09-04,9.070000
2024-09-05,9.260000
2024-09-06,9.060000
2024-09-09,9.080000
2024-09-10,8.940000
2024-09-11,9.120000
2024-09-12,9.110000
2024-09-13,9.240000
2024-09-16,9.400000
2024-09-17,9.250000
2024-09-18,9.290000
2024-09-19,9.140000
2024-09-20,9.090000
2024-09-23,9.180000
2024-09-24,9.170000
2024-09-25,9.140000
2024-09-26,9.120000
2024-09-27,9.170000
2024-09-30,9.100000
2024-10-01,9.040000
2024-10-02,8.850000
2024-10-03,8.800000
2024-10-04,8.770000
2024-10-07,8.800000
2024-10-08,8.770000
2024-10-09,8.840000
2024-10-10,8.850000
2024-10-11,8.770000
2024-10-14,8.790000
2024-10-15,8.760000
2024-10-16,8.950000
2024-10-17,8.840000
2024-10-18,8.870000
2024-10-21,8.750000
2024-10-22,8.670000
2024-10-23,8.590000
2024-10-24,8.640000
2024-10-25,8.610000
2024-10-28,8.670000
2024-10-29,8.430000
2024-10-30,8.530000
2024-10-31,8.420000
2024-11-01,8.490000
2024-11-04,8.470000
2024-11-05,8.550000
2024-11-06,8.460000
2024-11-07,8.470000
2024-11-08,8.460000
2024-11-11,8.470000
2024-11-12,7.690000
2024-11-13,7.950000
2024-11-14,7.880000
2024-11-15,7.970000
2024-11-18,8.100000
2024-11-19,8.100000
2024-11-20,8.120000
2024-11-21,8.030000
2024-11-22,8.160000
2024-11-25,8.330000
2024-11-26,8.280000
2024-11-27,8.380000
2024-11-29,8.380000
2024-12-02,8.290000
2024-12-03,8.250000
2024-12-04,8.190000
2024-12-05,8.470000
2024-12-06,8.570000
2024-12-09,8.330000
2024-12-10,8.260000
2024-12-11,8.190000
2024-12-12,8.110000
2024-12-13,8.120000
2024-12-16,8.010000
2024-12-17,8.060000
2024-12-18,7.860000
2024-12-19,7.830000
2024-12-20,7.840000
2024-12-23,7.820000
2024-12-24,7.880000
2024-12-26,7.870000
2024-12-27,7.880000
2024-12-30,7.870000
2024-12-31,7.930000
2025-01-02,7.950000
2025-01-03,7.910000
2025-01-06,7.910000
2025-01-07,7.860000
2025-01-08,7.670000
2025-01-10,7.520000
2025-01-13,7.660000
2025-01-14,7.710000
2025-01-15,7.920000
2025-01-16,7.920000
2025-01-17,7.920000
2025-01-21,7.990000
2025-01-22,7.830000
2025-01-23,7.850000
2025-01-24,7.820000
2025-01-27,8.010000
2025-01-28,7.950000
2025-01-29,7.990000
2025-01-30,8.050000
2025-01-31,7.980000
2025-02-03,7.930000
2025-02-04,7.660000
2025-02-05,7.730000
2025-02-06,7.890000
2025-02-07,8.010000
2025-02-10,8.010000
2025-02-11,7.940000
2025-02-12,8.030000
2025-02-13,7.880000
2025-02-14,7.810000
2025-02-18,7.790000
2025-02-19,7.730000
2025-02-20,7.720000
2025-02-21,7.810000
2025-02-24,8.020000
2025-02-25,8.180000
2025-02-26,8.130000
2025-02-27,8.180000
2025-02-28,8.230000
2025-03-03,8.320000
2025-03-04,8.300000
2025-03-05,8.440000
2025-03-06,8.420000
2025-03-07,8.800000
2025-03-10,8.830000
2025-03-11,8.620000
2025-03-12,8.560000
2025-03-13,8.880000
2025-03-14,8.920000
2025-03-17,9.210000
2025-03-18,9.190000
2025-03-19,9.140000
2025-03-20,9.060000
2025-03-21,9.090000
2025-03-24,8.680000
2025-03-25,8.740000
2025-03-26,8.750000
2025-03-27,8.750000
2025-03-28,8.830000
2025-03-31,8.760000
2025-04-01,8.660000
2025-04-02,8.520000
2025-04-03,8.760000
2025-04-04,7.940000
2025-04-07,7.800000
2025-04-08,7.650000
2025-04-09,8.020000
2025-04-10,7.900000
2025-04-11,8.160000
2025-04-14,8.370000
2025-04-15,8.510000
2025-04-16,8.570000
2025-04-17,8.700000
2025-04-21,8.620000
2025-04-22,8.950000
2025-04-23,8.690000
2025-04-24,8.700000
2025-04-25,8.740000
2025-04-28,8.940000
2025-04-29,8.950000
2025-04-30,9.120000
2025-05-01,9.090000
2025-05-02,8.980000
2025-05-05,8.970000
2025-05-06,9.040000
2025-05-07,8.780000
2025-05-08,8.640000
2025-05-09,8.690000
2025-05-12,8.470000
2025-05-13,8.470000
2025-05-14,8.450000
2025-05-15,8.660000
2025-05-16,8.830000
2025-05-19,9.010000
2025-05-20,9.710000
2025-05-21,9.740000
2025-05-22,9.850000
2025-05-23,9.780000
2025-05-27,9.810000
2025-05-28,9.710000
2025-05-29,9.660000
2025-05-30,9.660000
2025-06-02,9.720000
2025-06-03,9.620000
2025-06-04,9.590000
2025-06-05,9.540000
2025-06-06,9.540000
2025-06-09,9.510000
2025-06-10,9.440000
2025-06-11,9.400000
2025-06-12,9.600000
2025-06-13,9.580000
2025-06-16,9.830000
2025-06-17,9.630000
2025-06-18,9.630000
2025-06-20,9.790000
2025-06-23,9.800000
2025-06-24,10.020000
2025-06-25,9.950000
2025-06-26,10.230000
2025-06-27,10.120000
2025-06-30,10.230000
2025-07-01,10.470000
2025-07-02,10.240000
2025-07-03,10.340000
2025-07-07,10.480000
2025-07-08,10.430000
2025-07-09,10.440000
2025-07-10,10.470000
2025-07-11,10.400000
2025-07-14,10.460000
2025-07-15,10.360000
2025-07-16,10.560000
2025-07-17,10.500000
2025-07-18,10.530000
2025-07-21,10.680000
2025-07-22,10.860000
2025-07-23,10.840000
2025-07-24,11.050000
2025-07-25,10.970000
2025-07-28,10.710000
2025-07-29,10.660000
2025-07-30,10.610000
2025-07-31,10.370000
2025-08-01,10.520000
2025-08-04,10.590000
2025-08-05,10.650000
2025-08-06,10.840000
2025-08-07,10.800000
2025-08-08,10.900000
2025-08-11,11.040000
2025-08-12,11.070000
2025-08-13,11.180000
2025-08-14,11.170000
2025-08-15,11.200000
2025-08-18,11.230000
2025-08-19,11.240000
2025-08-20,11.420000
2025-08-21,11.380000
2025-08-22,11.440000
2025-08-25,11.390000
2025-08-26,11.380000
2025-08-27,11.570000
2025-08-28,11.440000
2025-08-29,11.480000
2025-09-02,11.250000
2025-09-03,11.230000
2025-09-04,11.270000
2025-09-05,11.330000
2025-09-08,11.320000
2025-09-09,11.380000
2025-09-10,11.180000
2025-09-11,11.380000
2025-09-12,11.370000
2025-09-15,11.330000
2025-09-16,11.290000
2025-09-17,11.190000
2025-09-18,10.970000
2025-09-19,10.950000
2025-09-22,10.930000
2025-09-23,10.900000
2025-09-24,10.870000
2025-09-25,10.810000
2025-09-26,10.980000
2025-09-29,11.030000
2025-09-30,11.130000
2025-10-01,11.060000
2025-10-02,10.960000
2025-10-03,10.900000
2025-10-06,10.830000
2025-10-07,10.810000
2025-10-08,10.810000
2025-10-09,10.820000
2025-10-10,10.840000
2025-10-13,10.720000
2025-10-14,10.890000
2025-10-15,10.940000
2025-10-16,11.020000
2025-10-17,11.200000
2025-10-20,11.190000
2025-10-21,11.040000
2025-10-22,11.260000
2025-10-23,11.190000
2025-10-24,11.260000
2025-10-27,11.420000
2025-10-28,11.740000
2025-10-29,11.420000
2025-10-30,11.490000
2025-10-31,11.560000
2025-11-03,10.920000
2025-11-04,10.750000
2025-11-05,10.810000
2025-11-06,10.880000
2025-11-07,11.110000
2025-11-10,11.230000
2025-11-11,12.160000
2025-11-12,11.870000
2025-11-13,11.910000
2025-11-14,11.820000
2025-11-17,11.720000
2025-11-18,11.750000
2025-11-19,11.520000
2025-11-20,11.370000
2025-11-21,11.620000
2025-11-24,11.610000
2025-11-25,11.990000
2025-11-26,12.250000
2025-11-28,12.240000
2025-12-01,11.910000
2025-12-02,12.150000
2025-12-03,12.360000
2025-12-04,12.410000
2025-12-05,12.240000
2025-12-08,12.270000
2025-12-09,12.270000
2025-12-10,12.330000
2025-12-11,12.310000
2025-12-12,12.360000
2025-12-15,12.460000
2025-12-16,12.460000
2025-12-17,12.570000
2025-12-18,12.560000
2025-12-19,12.600000
2025-12-22,12.640000
2025-12-23,12.820000
2025-12-24,12.860000
2025-12-26,12.880000
2025-12-29,12.910000
2025-12-30,12.980000
2025-12-31,12.970000
2026-01-02,13.090000
2026-01-05,13.320000
2026-01-06,13.280000
2026-01-07,13.710000
2026-01-08,13.560000
2026-01-09,13.250000
2026-01-12,13.300000
2026-01-13,12.940000
2026-01-14,13.120000
2026-01-15,13.200000
2026-01-16,13.220000
2026-01-20,13.250000
2026-01-21,13.350000
2026-01-22,13.680000
2026-01-23,13.910000
2026-01-26,13.970000
2026-01-27,14.230000
2026-01-28,14.300000
2026-01-29,14.440000
2026-01-30,14.380000
2026-02-02,14.630000
2026-02-03,14.970000
2026-02-04,15.420000
2026-02-05,14.350000
2026-02-06,14.830000
2026-02-09,15.190000
2026-02-10,14.970000
2026-02-11,15.390000
2026-02-12,15.330000
2026-02-13,15.280000
2026-02-17,15.370000
2026-02-18,15.370000
2026-02-19,15.240000
2026-02-20,15.360000
2026-02-23,15.270000
2026-02-24,15.410000
2026-02-25,15.570000
2026-02-26,15.110000
2026-02-27,15.080000
2026-03-02,14.900000
2026-03-03,14.600000
2026-03-04,14.750000
2026-03-05,14.350000
2026-03-06,14.240000
2026-03-09,14.210000
2026-03-10,14.190000
2026-03-11,14.130000
2026-03-12,14.040000
2026-03-13,14.140000
2026-03-16,14.330000
2026-03-17,14.480000
2026-03-18,14.100000
2026-03-19,14.150000
2026-03-20,14.060000
2026-03-23,14.210000
2026-03-24,14.390000
2026-03-25,14.450000
2026-03-26,14.360000
2026-03-27,14.220000
2026-03-30,14.430000
2026-03-31,14.740000
2026-04-01,14.850000
2026-04-02,14.930000
2026-04-06,14.860000
2026-04-07,15.030000
2026-04-08,15.480000
2026-04-09,15.560000
2026-04-10,15.400000
2026-04-13,15.360000
2026-04-14,15.330000
2026-04-15,15.300000
2026-04-16,15.410000
2026-04-17,15.190000
2026-04-20,15.360000
2026-04-21,14.910000
