date,adj_close
2024-08-19,38.320000
2024-08-20,37.920000
2024-08-21,37.960000
2024-08-22,38.260000
2024-08-23,39.300000
2024-08-26,39.140000
2024-08-27,38.920000
2024-08-28,39.380000
2024-08-29,39.370000
2024-08-30,39.840000
2024-09-03,39.650000
2024-09-04,39.290000
2024-09-05,38.910000
2024-09-06,37.970000
2024-09-09,38.820000
2024-09-10,38.230000
2024-09-11,38.370000
2024-09-12,38.420000
2024-09-13,39.260000
2024-09-16,39.550000
2024-09-17,39.670000
2024-09-18,39.770000
2024-09-19,40.720000
2024-09-20,40.350000
2024-09-23,39.980000
2024-09-24,39.960000
2024-09-25,39.290000
2024-09-26,40.040000
2024-09-27,40.070000
2024-09-30,40.320000
2024-10-01,39.400000
2024-10-02,39.510000
2024-10-03,39.290000
2024-10-04,39.630000
2024-10-07,39.680000
2024-10-08,39.520000
2024-10-09,40.130000
2024-10-10,40.160000
2024-10-11,41.260000
2024-10-14,41.720000
2024-10-15,42.030000
2024-10-16,42.340000
2024-10-17,42.700000
2024-10-18,42.050000
2024-10-21,40.820000
2024-10-22,41.090000
2024-10-23,41.290000
2024-10-24,41.470000
2024-10-25,40.680000
2024-10-28,41.460000
2024-10-29,41.420000
2024-10-30,41.490000
2024-10-31,41.110000
2024-11-01,40.610000
2024-11-04,40.310000
2024-11-05,40.620000
2024-11-06,44.120000
2024-11-07,43.230000
2024-11-08,43.540000
2024-11-11,44.430000
2024-11-12,44.400000
2024-11-13,44.430000
2024-11-14,44.480000
2024-11-15,44.230000
2024-11-18,44.070000
2024-11-19,43.710000
2024-11-20,43.590000
2024-11-21,44.350000
2024-11-22,45.090000
2024-11-25,45.590000
2024-11-26,45.420000
2024-11-27,45.330000
2024-11-29,45.240000
2024-12-02,44.780000
2024-12-03,44.290000
2024-12-04,44.110000
2024-12-05,44.540000
2024-12-06,44.440000
2024-12-09,43.800000
2024-12-10,43.660000
2024-12-11,43.130000
2024-12-12,42.860000
2024-12-13,42.870000
2024-12-16,42.930000
2024-12-17,42.400000
2024-12-18,40.090000
2024-12-19,39.780000
2024-12-20,40.410000
2024-12-23,40.370000
2024-12-24,40.510000
2024-12-26,40.710000
2024-12-27,40.380000
2024-12-30,40.210000
2024-12-31,40.140000
2025-01-02,40.040000
2025-01-03,40.250000
2025-01-06,40.770000
2025-01-07,40.700000
2025-01-08,40.280000
2025-01-10,39.040000
2025-01-13,39.620000
2025-01-14,40.720000
2025-01-15,41.780000
2025-01-16,41.080000
2025-01-17,42.100000
2025-01-21,42.590000
2025-01-22,41.710000
2025-01-23,41.640000
2025-01-24,41.950000
2025-01-27,42.690000
2025-01-28,42.520000
2025-01-29,41.940000
2025-01-30,42.240000
2025-01-31,42.070000
2025-02-03,41.370000
2025-02-04,41.650000
2025-02-05,41.760000
2025-02-06,42.060000
2025-02-07,41.820000
2025-02-10,41.140000
2025-02-11,41.780000
2025-02-12,41.240000
2025-02-13,41.380000
2025-02-14,41.830000
2025-02-18,42.210000
2025-02-19,42.110000
2025-02-20,41.410000
2025-02-21,40.710000
2025-02-24,40.820000
2025-02-25,40.840000
2025-02-26,40.670000
2025-02-27,40.810000
2025-02-28,41.270000
2025-03-03,40.880000
2025-03-04,39.530000
2025-03-05,38.410000
2025-03-06,37.850000
2025-03-07,38.040000
2025-03-10,37.300000
2025-03-11,36.300000
2025-03-12,36.580000
2025-03-13,35.590000
2025-03-14,36.600000
2025-03-17,37.020000
2025-03-18,36.930000
2025-03-19,37.470000
2025-03-20,37.440000
2025-03-21,37.490000
2025-03-24,38.220000
2025-03-25,38.140000
2025-03-26,38.140000
2025-03-27,37.760000
2025-03-28,36.850000
2025-03-31,37.580000
2025-04-01,37.320000
2025-04-02,37.980000
2025-04-03,34.000000
2025-04-04,32.350000
2025-04-07,32.660000
2025-04-08,32.040000
2025-04-09,34.340000
2025-04-10,32.430000
2025-04-11,32.440000
2025-04-14,33.170000
2025-04-15,33.620000
2025-04-16,32.970000
2025-04-17,32.730000
2025-04-21,31.940000
2025-04-22,33.210000
2025-04-23,33.640000
2025-04-24,34.300000
2025-04-25,33.820000
2025-04-28,34.260000
2025-04-29,34.660000
2025-04-30,34.450000
2025-05-01,34.590000
2025-05-02,35.560000
2025-05-05,35.740000
2025-05-06,35.110000
2025-05-07,35.190000
2025-05-08,35.720000
2025-05-09,35.800000
2025-05-12,37.610000
2025-05-13,37.800000
2025-05-14,37.740000
2025-05-15,37.850000
2025-05-16,38.000000
2025-05-19,37.870000
2025-05-20,37.450000
2025-05-21,36.030000
2025-05-22,35.960000
2025-05-23,35.660000
2025-05-27,36.560000
2025-05-28,36.250000
2025-05-29,36.730000
2025-05-30,36.610000
2025-06-02,36.500000
2025-06-03,37.280000
2025-06-04,36.860000
2025-06-05,36.710000
2025-06-06,37.780000
2025-06-09,37.940000
2025-06-10,38.130000
2025-06-11,37.520000
2025-06-12,37.360000
2025-06-13,36.410000
2025-06-16,36.730000
2025-06-17,36.530000
2025-06-18,37.170000
2025-06-20,37.710000
