date,adj_close
2024-08-19,5.120000
2024-08-20,5.170000
2024-08-21,5.270000
2024-08-22,5.170000
2024-08-23,5.210000
2024-08-26,5.150000
2024-08-27,5.160000
2024-08-28,4.940000
2024-08-29,5.020000
2024-08-30,4.940000
2024-09-03,4.860000
2024-09-04,4.810000
2024-09-05,5.020000
2024-09-06,4.810000
2024-09-09,4.810000
2024-09-10,4.860000
2024-09-11,4.940000
2024-09-12,5.350000
2024-09-13,5.420000
2024-09-16,5.460000
2024-09-17,5.400000
2024-09-18,5.290000
2024-09-19,5.310000
2024-09-20,5.480000
2024-09-23,5.390000
2024-09-24,5.470000
2024-09-25,5.500000
2024-09-26,5.520000
2024-09-27,5.280000
2024-09-30,5.230000
2024-10-01,5.340000
2024-10-02,5.320000
2024-10-03,5.140000
2024-10-04,5.040000
2024-10-07,4.540000
2024-10-08,4.580000
2024-10-09,4.550000
2024-10-10,4.850000
2024-10-11,4.830000
2024-10-14,4.770000
2024-10-15,4.920000
2024-10-16,5.080000
2024-10-17,5.110000
2024-10-18,5.970000
2024-10-21,6.150000
2024-10-22,6.110000
2024-10-23,5.930000
2024-10-24,5.990000
2024-10-25,5.770000
2024-10-28,5.650000
2024-10-29,5.770000
2024-10-30,5.690000
2024-10-31,5.540000
2024-11-01,5.400000
2024-11-04,5.290000
2024-11-05,5.330000
2024-11-06,5.180000
2024-11-07,5.320000
2024-11-08,5.690000
2024-11-11,5.220000
2024-11-12,5.030000
2024-11-13,4.980000
2024-11-14,4.980000
2024-11-15,4.940000
2024-11-18,5.300000
2024-11-19,5.540000
2024-11-20,5.570000
2024-11-21,5.700000
2024-11-22,5.700000
2024-11-25,5.330000
2024-11-26,5.370000
2024-11-27,5.390000
2024-11-29,5.500000
2024-12-02,5.430000
2024-12-03,5.720000
2024-12-04,5.670000
2024-12-05,5.590000
2024-12-06,5.350000
2024-12-09,5.540000
2024-12-10,5.630000
2024-12-11,5.920000
2024-12-12,5.560000
2024-12-13,5.340000
2024-12-16,5.310000
