date,adj_close
2024-08-20,5.990000
2024-08-21,6.150000
2024-08-22,5.990000
2024-08-23,6.170000
2024-08-26,6.220000
2024-08-27,6.230000
2024-08-28,5.960000
2024-08-29,5.960000
2024-08-30,5.920000
2024-09-03,5.380000
2024-09-04,5.460000
2024-09-05,5.670000
2024-09-06,5.440000
2024-09-09,5.550000
2024-09-10,5.680000
2024-09-11,5.910000
2024-09-12,6.430000
2024-09-13,6.810000
2024-09-16,6.800000
2024-09-17,6.750000
2024-09-18,6.520000
2024-09-19,6.670000
2024-09-20,6.760000
2024-09-23,6.580000
2024-09-24,7.060000
2024-09-25,7.060000
2024-09-26,7.170000
2024-09-27,6.790000
2024-09-30,6.660000
2024-10-01,6.540000
2024-10-02,6.620000
2024-10-03,6.620000
2024-10-04,6.590000
2024-10-07,6.440000
2024-10-08,6.420000
2024-10-09,6.350000
2024-10-10,6.610000
2024-10-11,6.620000
2024-10-14,6.540000
2024-10-15,6.690000
2024-10-16,6.770000
2024-10-17,6.680000
2024-10-18,7.300000
2024-10-21,7.370000
2024-10-22,7.520000
2024-10-23,7.150000
2024-10-24,6.970000
2024-10-25,6.790000
2024-10-28,6.820000
2024-10-29,7.050000
2024-10-30,6.760000
2024-10-31,6.480000
2024-11-01,6.390000
2024-11-04,6.310000
2024-11-05,6.290000
2024-11-06,6.190000
2024-11-07,6.010000
2024-11-08,5.720000
2024-11-11,5.570000
2024-11-12,5.450000
2024-11-13,5.410000
2024-11-14,5.590000
2024-11-15,5.490000
2024-11-18,5.640000
2024-11-19,5.690000
2024-11-20,5.620000
2024-11-21,5.690000
2024-11-22,5.520000
2024-11-25,5.420000
2024-11-26,5.430000
2024-11-27,5.490000
2024-11-29,5.520000
2024-12-02,5.400000
2024-12-03,5.740000
2024-12-04,5.640000
2024-12-05,5.670000
2024-12-06,5.520000
2024-12-09,5.870000
2024-12-10,5.690000
2024-12-11,5.850000
2024-12-12,5.530000
2024-12-13,5.400000
2024-12-16,5.300000
2024-12-17,5.330000
2024-12-18,5.010000
2024-12-19,4.950000
2024-12-20,5.040000
2024-12-23,5.060000
2024-12-24,5.070000
2024-12-26,5.100000
2024-12-27,5.010000
2024-12-30,4.860000
2024-12-31,4.910000
2025-01-02,5.260000
2025-01-03,5.100000
2025-01-06,5.110000
2025-01-07,5.220000
2025-01-08,5.320000
2025-01-10,5.200000
2025-01-13,5.110000
2025-01-14,5.390000
2025-01-15,5.410000
2025-01-16,5.350000
2025-01-17,5.380000
2025-01-21,5.580000
2025-01-22,5.480000
2025-01-23,5.460000
2025-01-24,5.490000
2025-01-27,5.330000
2025-01-28,5.390000
2025-01-29,5.490000
2025-01-30,5.780000
2025-01-31,5.680000
2025-02-03,5.760000
2025-02-04,5.880000
2025-02-05,5.950000
2025-02-06,6.010000
2025-02-07,5.880000
2025-02-10,6.170000
2025-02-11,6.060000
2025-02-12,6.290000
2025-02-13,6.370000
2025-02-14,5.440000
2025-02-18,5.560000
2025-02-19,5.380000
2025-02-20,5.630000
2025-02-21,5.220000
2025-02-24,5.240000
2025-02-25,5.210000
2025-02-26,5.230000
2025-02-27,5.070000
2025-02-28,5.130000
2025-03-03,5.080000
2025-03-04,5.110000
2025-03-05,5.500000
